D_Name,D_Detail,D_Precautions,D_Doctor
 kidney,"CKD is a condition in which the kidneys are damaged and cannot filter blood as well as they should. Because of this, excess fluid and waste from blood remain in the body and may cause other health problems, such as heart disease and stroke.","Lose weight if you are overweight.
Get active. ...
Quit smoking.
Getting a checkup? ...
Take medications as directed.",Nephrologists
Depression,Depressive disorder (also known as depression) is a common mental disorder. It involves a depressed mood or loss of pleasure or interest in activities for long periods of time.,"Exercise. Take a 15- to 30-minute brisk walk every day. ...
Eat healthy foods and drink plenty of water. Some people with depression don't feel much like eating. ...
Express yourself. ...
Don't dwell on problems. ...
Notice good things.", Psychiatrist
Blood cancer,"Blood cancer is a term that's used to describe many different types of cancer that can affect your blood, bone marrow or lymphatic system. It happens when something goes wrong with the development of your blood cells. ","You may lower your risk of developing leukemia by doing the following.
Be a non-smoker. Not smoking is the best way to lower your risk of leukemia. ...
Maintain a healthy body weight. ...
Avoid breathing in benzene and formaldehyde.",oncologists
Lungs cancer,"Lung cancer, also known as lung carcinoma, is a malignant tumor that begins in the lung. Lung cancer is caused by genetic damage to the DNA of cells in the airways, often caused by cigarette smoking or inhaling damaging chemicals.","The most important thing you can do to prevent lung cancer is to not start smoking, or to quit if you smoke. Avoid secondhand smoke. Smoke from other people's cigarettes, cigars, or pipes is called secondhand smoke. Make your home and car smoke-free.",pulmonologist
Infection,"Infectious diseases are disorders that are caused by organisms, usually microscopic in size, such as bacteria, viruses, fungi, or parasites that are passed, directly or indirectly, from one person to another.","Immunise against infectious diseases.
Wash and dry your hands regularly and well.
Stay at home if you are sick.
Cover coughs and sneezes.
Clean surfaces regularly.
Ventilate your home.",Infectious Disease Specialist
Skin Disease,"Skin diseases are conditions that affect your skin. These diseases may cause rashes, inflammation, itchiness or other skin changes. Some skin conditions may be genetic, while lifestyle factors may cause others","Wash your hands often and properly.
Wash scrapes, cuts, wounds, or insect bites right away.
Do not share items, such as towels, razors, bar soap, clothes, or toys.
Avoid skin-to-skin contact with anyone who has a skin infection.",Dermatologist
Migraine,A migraine tends to be a very bad headache with a throbbing pain on 1 side of the head. ,"Manage stress
Caffeine
Sleep well
Exercise
Yoga
Acupuncture
Avoid certain foods",neurologis
Pregnancy,Pregnancy is the term used to describe the period in which a fetus develops inside a woman's womb or uterus.," getting the prenatal care and maintaining good health, taking rest and mental health",gynecologists
Liver Cancer,Primary liver cancer is a disease in which malignant (cancer) cells form in the tissues of the liver. Cancer that forms in other parts of the body and spreads to the liver is not primary liver cancer.,"Get the hepatitis B vaccine.
Don't touch or reuse dirty or used syringes or needles.Keep a healthy weight.
Get medical care if you have chronic hepatitis. ...
Don't drink alcohol in excess. ...
Quit smoking.",Hepatologist
Diarrhea,Diarrhea is when your stools are loose and watery. You may also need to go to the bathroom more often. Short-term (acute) diarrhea lasts 1 or 2 days. Long-term (chronic) diarrhea lasts several weeks.,"Drink and use safe water.
Wash your hands often.
Do not defecate in any body of water.
Eat safe food. Boil it, cook it, peel it, or throw it away.
Clean up safely.",gastroenterologist.
Dengue,Dengue (break-bone fever) is a viral infection that spreads from mosquitoes to people.,"Use insect repellent, wear loose-fitting, long-sleeved shirts and long pants, and control mosquitoes inside and outside your home. ",General Physician
Acne,Acne is a common skin condition that happens when hair follicles under the skin become clogged. ,"Keep your skin clean.
Choose the right skin care.
Shampoo regularly.
Stick to your treatment.
Keep your hands off.
Stay out of the sun and tanning beds.",Dermatologist
Anxiety,"Anxiety is a feeling of fear, dread, and uneasiness. It might cause you to sweat, feel restless and tense, and have a rapid heartbeat. It can be a normal reaction to stress","Relaxation
Exercise
Maintaining a healthy diet
Avoid alcohol
Avoiding unhealthy substances
Maintain a journal
Avoid caffeine",psychiatrist
Asthma,"Asthma is a condition in which your airways narrow and swell and may produce extra mucus. This can make breathing difficult and trigger coughing, a whistling sound (wheezing) when you breathe out and shortness of breath.","Follow your asthma action plan. ...
Get vaccinated for influenza and pneumonia. ...
Identify and avoid asthma triggers. ...
Monitor your breathing. ...
Identify and treat attacks early. ...
Take your medication as prescribed.",pulmonologists. 
Brain tumor,"A brain tumor is a growth of cells in the brain or near it. Brain tumors can happen in the brain tissue. Brain tumors also can happen near the brain tissue. Nearby locations include nerves, the pituitary gland, the pineal gland, and the membranes that cover the surface of the brain.",You can reduce your risk of developing a brain tumor by avoiding environmental hazards such as smoking and excessive radiation exposure. ,Neurologists
Chest infection,"A chest infection is an infection of the lungs or airways. The main types of chest infection are bronchitis and pneumonia. Most bronchitis cases are caused by viruses, whereas most pneumonia cases are due to bacteria. These infections are usually spread when an infected person coughs or sneezes.","Wash your hands regularly, especially before eating or touching your face, eyes and mouth. Get the flu vaccine.",pulmonologist
Diabetes,your body either doesn't make enough insulin or can't use it as well as it should. Diabetes is a chronic (long-lasting) health condition that affects how your body turns food into energy. Your body breaks down most of the food you eat into sugar (glucose) and releases it into your bloodstream.,"Make a commitment to managing your diabetes. ...
Don't smoke. ...
Keep your blood pressure and cholesterol under control. ...
Schedule regular physicals and eye exams. ...
Keep your vaccines up to date. ...
Pay attention to your feet. ...
Consider a daily aspirin. ...
If you drink alcohol, do so responsibly.",endocrinologist
Eye cancer,Eye cancer can refer to any cancer that starts in the eye. Cancer starts when cells begin to grow out of control.,"Reduce UV Exposure,wear glasses,use tissue for eyes,don?t touch your eyes frequently.",ophthalmologist
Flu,"Flu is a contagious respiratory illness caused by influenza viruses that infect the nose, throat, and sometimes the lungs","Avoid close contact. Avoid close contact with people who are sick. ...
Stay home when you are sick. ...
Cover your mouth and nose. ...
Clean your hands. ...
Avoid touching your eyes, nose or mouth. ...
Practice other good health habits.",General physician
Nail infection,Nail Infection (Paronychia) Paronychia (nail infection) usually results from bacteria. Bacteria get into the skin through cuts in the cuticle and the nail fold (the skin around the nail). ,Keep your hands and feet clean and dry. Keep fingernails and toenails short and clean. Don't walk barefoot in areas like locker rooms or public showers. Don't share nail clippers with other people.,dermatologist
Gum diasease,Gingivitis is inflammation of the gums. Periodontitis occurs when inflammation or infection of the gums (gingivitis) occurs and is not treated.,"Regular tooth brushing helps to prevent gum disease by removing the plaque that causes it,use mouthwash",Dentist
