S_name,S_detail,S_precaution,S_disease,S_doctor
Fever,Fever is the temporary increase in the body's temperature in response to a disease or illness. ,"Drink plenty of fluids to stay hydrated.
Dress in lightweight clothing.
Use a light blanket if you feel chilled, until the chills end.
Take acetaminophen ","Bone infections,appendicitis, skin infections or cellulitis, meningitis,Respiratory infections ","pulmonologist(Respiratory infection),orthopaedic(Bone infection)"
Breathlessness,"An intense tightening in the chest, air hunger, difficulty breathing, breathlessness or a feeling of suffocation.","Deep breathing. ...
Pursed lip breathing. ...
Sleeping in a relaxed position. ...
Stem inhalation. ...
Black coffee.","Chronic lung diseases, including COPD, asthma, pulmonary fibrosis and pulmonary hypertension.","pulmonologist,asthama(lung disease),hypertension(Hypertension Specialist)"
Hair loss,"Hair loss, also called alopecia, is a disorder caused by an interruption in the body's cycle of hair production. Hair loss can occur anywhere on the body, but most commonly affects the scalp. ","Avoid hairstyles that pull on the hair. ...
Avoid high-heat hair styling tools. ...
Don't chemically treat or bleach your hair.","Cicatricial Alopecia.
Hair Shaft Abnormalities.
Hypotrichosis.",Dermatologist
Tiredness,"Tiredness, or fatigue, means having less energy than usual. You feel exhausted, either mentally, physically, or both. ","Eat often to beat tiredness. 
Get moving.
Lose weight to gain energy.
Sleep well.
Reduce stress to boost energy. ","Adrenal insufficiency.
Amyotrophic lateral sclerosis (ALS)
Anemia ","Adrenal insufficiency(endocrinologist),Amyotrophic lateral sclerosis(neurologist ),Anemia(General Physician)"
Vomiting,Vomiting is the forceful ejection of the contents of the stomach and upper digestive system through the mouth. It is sometimes known as throwing up or being sick. ,"Stay home to avoid passing the infection to others.
Drink plenty of clear fluids or oral rehydration solution to replace lost fluids ? take small sips if you feel sick.
Avoid fruit juice, cordial and sugary drinks.
Avoid alcohol and caffeine.","Food poisoning.
Poisoning.",General physician
Weight loss,Weight loss is a decrease in body weight by either following a diet and exercise regime or because of involuntarily circumstances such as illness.,"Eat three balanced meals a day to help control your hunger.
Watch portion sizes and eat small servings of a variety of foods.
Choose low-calorie snacks.
Eat only when you are hungry and stop when you are satisfied.","Cancer,Chronic infection","oncologist(cancer),chronic infection( Infectious Disease Specialist )"
Headache,"A headache is a pain in your head or face that's often described as a pressure that's throbbing, constant, sharp or dull. Headaches can differ greatly in regard to pain type, severity, ","Avoid medication overuse. ...
Get enough sleep. ...
Don't skip meals. ...
Exercise regularly. ...
Reduce stress. ...
Reduce caffeine.","Classic Migraine,tumor","neurologist(migraine),oncologist(tumor)"
Allergies,Allergy occurs when a person reacts to substances in the environment that are harmless to most people. ,"void your allergens. This is very important but not always easy. ...
Take your medicines as prescribed. ...
If you are at risk for anaphylaxis,","Hay fever (allergic rhinitis), eczema, hives, asthma, and food allergy ","Allergists,immunologists,"
Back problem,"Back pain can happen when mechanical or structural problems develop in the spine, discs, muscles, ligaments, or tendons in the back, or compress a nerve.","Do muscle-strengthening and stretching exercises at least 2 days a week.
Stand and sit up straight.
Avoid heavy lifting. If you do lift something heavy, bend your knees and keep your back straight. ...
Get active and eat healthy.","Arthritis,
Osteoporosis.",Nephrologist
Chest pain,Chest pain is discomfort or pain that you feel anywhere along the front of your body between your neck and upper abdomen.,"Eating a healthy diet. ...
Managing health conditions you have, such as high blood pressure, high cholesterol and diabetes.
Exercising most days of the week.
Reaching and maintaining a weight","Heart attack (lack of blood to your heart).
Coronary artery disease",Cardiologist
